Generation,Hawks,Doves,Food,HawkBabies,DoveBabies,DeadHawks,DeadDoves
0,100,100,100,0,0,0,0
1,150,100,100,75,0,25,0
2,121,100,100,0,0,29,0
3,167,111,100,53,11,7,0
4,149,114,100,12,3,30,0
5,140,134,100,20,20,29,0
6,180,144,100,41,10,1,0
7,173,146,100,16,2,23,0
8,208,156,100,50,10,15,0
9,232,159,100,45,3,21,0
10,243,167,100,20,8,9,0
11,249,178,100,20,12,14,1
12,258,178,100,35,1,26,1
13,254,181,100,33,3,37,0
14,262,182,100,51,1,43,0
15,257,187,100,42,5,47,0
16,259,189,100,32,2,30,0
17,250,197,100,18,9,27,1
18,265,214,100,34,18,19,1
19,286,213,100,33,1,12,2
20,298,215,100,34,4,22,2
21,306,217,100,44,4,36,2
22,303,226,100,21,9,24,0
23,308,227,100,34,4,29,3
24,304,223,100,27,2,31,6
25,307,224,100,34,2,31,1
26,306,232,100,31,8,32,0
27,284,233,100,31,2,53,1
28,298,230,100,44,2,30,5
29,294,229,100,20,1,24,2
30,328,225,100,49,0,15,4
31,338,222,100,37,1,27,4
32,329,224,100,31,6,40,4
33,336,227,100,35,5,28,2
34,351,224,100,45,3,30,6
35,348,222,100,28,1,31,3
36,344,217,100,26,2,30,7
37,364,219,100,36,3,16,1
38,370,219,100,29,2,23,2
39,371,219,100,41,4,40,4
40,391,219,100,38,2,18,2
41,379,216,100,37,1,49,4
42,372,213,100,28,2,35,5
43,373,205,100,38,0,37,8
44,386,199,100,43,4,30,10
45,362,198,100,26,1,50,2
46,362,193,100,46,0,46,5
47,365,193,100,27,2,24,2
48,369,192,100,38,2,34,3
49,388,189,100,40,3,21,6
50,370,187,100,29,0,47,2
51,374,191,100,35,6,31,2
52,364,191,100,35,1,45,1
53,371,189,100,44,0,37,2
54,357,193,100,23,5,37,1
55,371,194,100,33,2,19,1
56,361,192,100,33,0,43,2
57,381,190,100,38,1,18,3
58,368,192,100,30,3,43,1
59,377,186,100,29,1,20,7
60,381,186,100,35,3,31,3
61,365,183,100,41,1,57,4
62,363,181,100,43,0,45,2
63,362,175,100,36,1,37,7
64,355,175,100,28,2,35,2
65,346,179,100,26,5,35,1
66,346,175,100,38,1,38,5
67,351,176,100,39,3,34,2
68,350,176,100,36,4,37,4
69,343,173,100,42,0,49,3
70,332,172,100,28,0,39,1
71,333,166,100,47,0,46,6
72,344,168,100,40,4,29,2
73,357,167,100,47,2,34,3
74,342,169,100,25,3,40,1
75,345,163,100,43,1,40,7
76,333,160,100,42,0,54,3
77,334,159,100,33,2,32,3
78,340,158,100,35,1,29,2
79,344,158,100,30,1,26,1
80,348,156,100,25,0,21,2
81,339,155,100,36,0,45,1
82,346,155,100,51,0,44,0
83,339,152,100,34,0,41,3
84,320,152,100,26,1,45,1
85,303,151,100,39,1,56,2
86,325,147,100,54,1,32,5
87,320,142,100,36,0,41,5
88,323,143,100,28,2,25,1
89,321,137,100,28,1,30,7
90,327,138,100,40,4,34,3
91,317,133,100,31,1,41,6
92,326,135,100,49,3,40,1
93,312,135,100,22,1,36,1
94,313,135,100,32,1,31,1
95,308,134,100,24,3,29,4
96,306,135,100,48,1,50,0
97,313,136,100,40,1,33,0
98,325,140,100,35,4,23,0
99,326,136,100,39,0,38,4
100,341,134,100,47,0,32,2
